order_id,user_id,departement,birth,order_date,total,nb_tshirts,tshirt_price,order_year,order_month,order_day,order_hr,order_weekofyear,order_dayofweek,age,shirt_type,gender,color
TSG-1200493,a4dc1548af,,1970-11-09 00:00:00,2013-07-12 15:27:00,71.7,3.0,23.9,2013,7,12,15,28,4,42.3214285714,T-Shirt,M,White
TSG-1200500,e8f6f7853c,91,1983-01-31 00:00:00,2014-01-22 08:28:00,19.9,1.0,19.9,2014,1,22,8,4,2,30.0521978022,T-Shirt,M,Black
TSG-1200502,5802162c20,46,1958-06-05 00:00:00,2014-03-22 21:07:00,19.9,1.0,19.9,2014,3,22,21,12,5,54.793956044,T-Shirt,F,Black
TSG-1200503,67dc195843,92,1899-12-30 00:00:00,2014-07-09 09:03:00,16.7,1.0,16.7,2014,7,9,9,28,2,113.423076923,T-Shirt,M,Black
TSG-1200505,7c52e0eab6,78,1981-12-19 00:00:00,2014-05-20 15:25:00,16.7,1.0,16.7,2014,5,20,15,21,1,31.1730769231,T-Shirt,F,Black
TSG-1200508,ef433d39c6,71,1991-01-23 00:00:00,2013-12-22 14:09:00,16.7,1.0,16.7,2013,12,22,14,51,6,22.0467032967,T-Shirt,M,Black
TSG-1200509,17b8b214b0,69,1982-05-24 00:00:00,2014-05-22 12:14:00,19.9,1.0,19.9,2014,5,22,12,21,3,30.7445054945,T-Shirt,M,White
TSG-1200530,1c3ddff940,70,1971-01-05 00:00:00,2013-05-12 19:45:00,19.9,1.0,19.9,2013,5,12,19,19,6,42.1648351648,T-Shirt,F,Black
TSG-1200534,61a7d084f5,75,1963-02-11 00:00:00,2013-12-15 15:05:00,33.4,2.0,16.7,2013,12,15,15,50,6,50.0906593407,T-Shirt,M,Black
TSG-1200538,ff971288b2,13,1973-05-28 00:00:00,2013-11-29 13:19:00,39.8,2.0,19.9,2013,11,29,13,48,4,39.7637362637,T-Shirt,M,White
