user_id,gender,age,total,nb_tshirts,age_buckets,expenditure_buckets
00063ff828,M,19.9093406593,19.9,1.0,0 to 20,0 to 100
0008dd99a0,,62.7774725275,25.0,1.0,60 and above,0 to 100
00105d1128,M,24.0549450549,16.7,1.0,20 to 30,0 to 100
001097c31c,,28.6291208791,23.9,1.0,20 to 30,0 to 100
001261e788,M,24.4230769231,19.9,1.0,20 to 30,0 to 100
00129f7328,F,113.423076923,16.7,1.0,60 and above,0 to 100
0013c8d438,M,33.9093406593,19.9,1.0,30 to 40,0 to 100
001c899397,F,19.4917582418,16.7,1.0,0 to 20,0 to 100
001d9a3b5e,,21.8653846154,19.9,1.0,20 to 30,0 to 100
0020d6c60d,M,38.5467032967,16.7,1.0,30 to 40,0 to 100
0021867bc5,,29.8186813187,25.0,1.0,20 to 30,0 to 100
0022a1402b,M,22.8956043956,23.9,1.0,20 to 30,0 to 100
00230b1e80,M,64.3901098901,16.7,1.0,60 and above,0 to 100
00276a15ee,,21.032967033,25.0,1.0,20 to 30,0 to 100
00296bba49,M,23.0879120879,16.7,1.0,20 to 30,0 to 100
0029b2eb40,,28.0521978022,23.9,1.0,20 to 30,0 to 100
0031539b1d,F,113.423076923,16.7,1.0,60 and above,0 to 100
0031eb3832,,56.4972527473,32.0,1.0,40 to 60,0 to 100
003b54cc1b,F,45.3543956044,16.7,1.0,40 to 60,0 to 100
003d5e16c2,M,27.3956043956,39.8,2.0,20 to 30,0 to 100
003e831008,,113.423076923,25.0,1.0,60 and above,0 to 100
00412cb014,M,16.6401098901,16.7,1.0,0 to 20,0 to 100
0041b602d7,F,113.423076923,16.7,1.0,60 and above,0 to 100
004236c4d2,M,23.3489010989,19.9,1.0,20 to 30,0 to 100
0043ece337,,25.0714285714,25.0,1.0,20 to 30,0 to 100
0046431ddc,F,29.1098901099,19.9,1.0,20 to 30,0 to 100
004b402a11,F,41.7362637363,19.9,1.0,40 to 60,0 to 100
004ca7d5d4,F,113.423076923,39.8,2.0,60 and above,0 to 100
004eec71bf,M,52.1153846154,39.8,2.0,40 to 60,0 to 100
004fae62c5,,60.1153846154,25.0,1.0,60 and above,0 to 100
0052d3409f,M,25.5659340659,23.9,1.0,20 to 30,0 to 100
0053a4434f,,113.423076923,50.0,2.0,60 and above,0 to 100
0053c3c5d1,M,33.793956044,19.9,1.0,30 to 40,0 to 100
005462a215,,62.4203296703,32.0,1.0,60 and above,0 to 100
005de26537,M,51.8351648352,79.6,4.0,40 to 60,0 to 100
00647659ce,M,113.423076923,23.9,1.0,60 and above,0 to 100
0065c44c26,M,24.6016483516,19.9,1.0,20 to 30,0 to 100
0066c00702,M,113.423076923,19.9,1.0,60 and above,0 to 100
0066db3f61,M,113.423076923,16.7,1.0,60 and above,0 to 100
00680310c6,,113.423076923,96.0,3.0,60 and above,0 to 100
006a07ee99,F,33.6950549451,16.7,1.0,30 to 40,0 to 100
006b696dd3,M,29.271978022,39.8,2.0,20 to 30,0 to 100
006f38d041,M,113.423076923,16.7,1.0,60 and above,0 to 100
00707c4092,,21.5741758242,19.9,1.0,20 to 30,0 to 100
0071cbe40e,F,21.1785714286,16.7,1.0,20 to 30,0 to 100
007281852f,M,35.293956044,16.7,1.0,30 to 40,0 to 100
007879fd46,,36.4697802198,32.0,1.0,30 to 40,0 to 100
00799c4449,M,36.7857142857,19.9,1.0,30 to 40,0 to 100
007d4ddc83,F,113.423076923,19.9,1.0,60 and above,0 to 100
007dc2c44c,M,26.5851648352,19.9,1.0,20 to 30,0 to 100
007e5f242c,M F,41.4038461538,40.6,2.0,40 to 60,0 to 100
007fe20411,F,34.1950549451,16.7,1.0,30 to 40,0 to 100
0082b8e027,F,60.3956043956,16.7,1.0,60 and above,0 to 100
0083345f30,M,113.423076923,19.9,1.0,60 and above,0 to 100
008336a2dc,,31.5961538462,50.0,2.0,30 to 40,0 to 100
00859a2c8e,M,35.8763736264,23.9,1.0,30 to 40,0 to 100
0085e0c632,,35.9203296703,39.8,2.0,30 to 40,0 to 100
00871e25e2,F,113.423076923,16.7,1.0,60 and above,0 to 100
008734aef0,M,25.0384615385,19.9,1.0,20 to 30,0 to 100
0089663b9c,M,47.5879120879,19.9,1.0,40 to 60,0 to 100
0089ea12c9,,32.9972527473,25.0,1.0,30 to 40,0 to 100
008f323f0e,,82.2994505495,25.0,1.0,60 and above,0 to 100
0093b2b215,F,57.7967032967,23.9,1.0,40 to 60,0 to 100
0097d4d6d6,,24.3104395604,25.0,1.0,20 to 30,0 to 100
009b57a11c,M,21.7884615385,19.9,1.0,20 to 30,0 to 100
009c64a352,F,113.423076923,239.0,10.0,60 and above,100 to 300
009df341f1,M,49.1813186813,121.8,6.0,40 to 60,100 to 300
00a69fae65,,24.7197802198,19.9,1.0,20 to 30,0 to 100
00a825e27b,M,25.478021978,19.9,1.0,20 to 30,0 to 100
00a9af6a21,M,22.9862637363,16.7,1.0,20 to 30,0 to 100
00af097185,M,22.6428571429,19.9,1.0,20 to 30,0 to 100
00b9506d2f,,27.3461538462,23.9,1.0,20 to 30,0 to 100
00bd012313,F,27.6758241758,50.1,3.0,20 to 30,0 to 100
00bdf912c4,,40.456043956,32.0,1.0,40 to 60,0 to 100
00bed1806b,,44.4505494505,32.0,1.0,40 to 60,0 to 100
00bf64f18f,M,21.3131868132,23.9,1.0,20 to 30,0 to 100
00c12874e7,,46.271978022,23.9,1.0,40 to 60,0 to 100
00c1d4ac4c,M,33.8736263736,16.7,1.0,30 to 40,0 to 100
00c39b9703,,113.423076923,25.0,1.0,60 and above,0 to 100
00c5ecc22b,M,29.2252747253,19.9,1.0,20 to 30,0 to 100
00c6b4b3c9,M,26.3021978022,19.9,1.0,20 to 30,0 to 100
00c8920c34,F,25.706043956,16.7,1.0,20 to 30,0 to 100
00c8b5463e,M,19.0989010989,16.7,1.0,0 to 20,0 to 100
00c9a458c5,M,17.8406593407,16.7,1.0,0 to 20,0 to 100
00ca5dc297,M,30.3461538462,16.7,1.0,30 to 40,0 to 100
00caf61ebd,F,44.1565934066,16.7,1.0,40 to 60,0 to 100
00cc632e44,M,23.1456043956,23.9,1.0,20 to 30,0 to 100
00cca0cd1a,F,113.423076923,16.7,1.0,60 and above,0 to 100
00cdf0058f,,60.1565934066,19.9,1.0,60 and above,0 to 100
00ce38a122,,113.423076923,19.9,1.0,60 and above,0 to 100
00ce436621,F,28.2994505495,16.7,1.0,20 to 30,0 to 100
00ce4a0626,M,19.4505494505,19.9,1.0,0 to 20,0 to 100
00d049afb4,,45.4450549451,25.0,1.0,40 to 60,0 to 100
00df3d01e8,F,42.260989011,58.4,3.0,40 to 60,0 to 100
00e1e0ea3f,M,39.6428571429,16.7,1.0,30 to 40,0 to 100
00e2fd1a1d,M,21.2637362637,16.7,1.0,20 to 30,0 to 100
00e31fd8f6,F,32.4203296703,50.1,3.0,30 to 40,0 to 100
00e7c89fa8,M,28.5521978022,23.9,1.0,20 to 30,0 to 100
00ed7e4343,,28.0824175824,39.8,2.0,20 to 30,0 to 100
00eedf47cf,M,27.4505494505,59.7,3.0,20 to 30,0 to 100
00f34c42ca,M,23.7527472527,19.9,1.0,20 to 30,0 to 100
00f3bf42b2,F,34.5824175824,50.1,3.0,30 to 40,0 to 100
00faafe152,,38.1538461538,32.0,1.0,30 to 40,0 to 100
00fc5517a2,F,53.6236263736,16.7,1.0,40 to 60,0 to 100
0101494ed7,M,20.6565934066,23.9,1.0,20 to 30,0 to 100
010231da6b,M,33.9313186813,16.7,1.0,30 to 40,0 to 100
010533dac5,M,113.423076923,19.9,1.0,60 and above,0 to 100
010539e0f5,M,25.7005494505,16.7,1.0,20 to 30,0 to 100
01069004ad,M,33.75,39.8,2.0,30 to 40,0 to 100
010beed428,,63.0604395604,23.9,1.0,60 and above,0 to 100
011461ac74,M F,43.2115384615,33.4,2.0,40 to 60,0 to 100
01183963c4,,31.9120879121,25.0,1.0,30 to 40,0 to 100
011a8dc891,F,39.6318681319,23.9,1.0,30 to 40,0 to 100
011b16ff88,M,113.423076923,16.7,1.0,60 and above,0 to 100
011eaf14cd,M,25.8571428571,16.7,1.0,20 to 30,0 to 100
011ec9a837,M,113.423076923,16.7,1.0,60 and above,0 to 100
0120c2b25b,M,113.423076923,16.7,1.0,60 and above,0 to 100
0123e28277,M,54.228021978,33.4,2.0,40 to 60,0 to 100
01243deb99,F,51.8598901099,23.9,1.0,40 to 60,0 to 100
012630a8aa,M,49.5714285714,33.4,2.0,40 to 60,0 to 100
01277ca8bf,,56.4423076923,50.0,2.0,40 to 60,0 to 100
012c63961a,M,113.423076923,16.7,1.0,60 and above,0 to 100
012e0511b6,,29.2252747253,25.0,1.0,20 to 30,0 to 100
01326829c0,M,43.7637362637,16.7,1.0,40 to 60,0 to 100
0133f2613b,M,25.5576923077,23.9,1.0,20 to 30,0 to 100
01344217f0,,29.8598901099,19.9,1.0,20 to 30,0 to 100
013462dc71,M,33.1236263736,16.7,1.0,30 to 40,0 to 100
